O*NET-SOC Code,Title,abilities_importance_ranked,abilities_level_ranked,abilities_arm-hand_steadiness_importance,abilities_arm-hand_steadiness_level,abilities_auditory_attention_importance,abilities_auditory_attention_level,abilities_category_flexibility_importance,abilities_category_flexibility_level,abilities_control_precision_importance,abilities_control_precision_level,abilities_deductive_reasoning_importance,abilities_deductive_reasoning_level,abilities_depth_perception_importance,abilities_depth_perception_level,abilities_dynamic_flexibility_importance,abilities_dynamic_flexibility_level,abilities_dynamic_strength_importance,abilities_dynamic_strength_level,abilities_explosive_strength_importance,abilities_explosive_strength_level,abilities_extent_flexibility_importance,abilities_extent_flexibility_level,abilities_far_vision_importance,abilities_far_vision_level,abilities_finger_dexterity_importance,abilities_finger_dexterity_level,abilities_flexibility_of_closure_importance,abilities_flexibility_of_closure_level,abilities_fluency_of_ideas_importance,abilities_fluency_of_ideas_level,abilities_glare_sensitivity_importance,abilities_glare_sensitivity_level,abilities_gross_body_coordination_importance,abilities_gross_body_coordination_level,abilities_gross_body_equilibrium_importance,abilities_gross_body_equilibrium_level,abilities_hearing_sensitivity_importance,abilities_hearing_sensitivity_level,abilities_inductive_reasoning_importance,abilities_inductive_reasoning_level,abilities_information_ordering_importance,abilities_information_ordering_level,abilities_manual_dexterity_importance,abilities_manual_dexterity_level,abilities_mathematical_reasoning_importance,abilities_mathematical_reasoning_level,abilities_memorization_importance,abilities_memorization_level,abilities_multilimb_coordination_importance,abilities_multilimb_coordination_level,abilities_near_vision_importance,abilities_near_vision_level,abilities_night_vision_importance,abilities_night_vision_level,abilities_number_facility_importance,abilities_number_facility_level,abilities_oral_comprehension_importance,abilities_oral_comprehension_level,abilities_oral_expression_importance,abilities_oral_expression_level,abilities_originality_importance,abilities_originality_level,abilities_perceptual_speed_importance,abilities_perceptual_speed_level,abilities_peripheral_vision_importance,abilities_peripheral_vision_level,abilities_problem_sensitivity_importance,abilities_problem_sensitivity_level,abilities_rate_control_importance,abilities_rate_control_level,abilities_reaction_time_importance,abilities_reaction_time_level,abilities_response_orientation_importance,abilities_response_orientation_level,abilities_selective_attention_importance,abilities_selective_attention_level,abilities_sound_localization_importance,abilities_sound_localization_level,abilities_spatial_orientation_importance,abilities_spatial_orientation_level,abilities_speech_clarity_importance,abilities_speech_clarity_level,abilities_speech_recognition_importance,abilities_speech_recognition_level,abilities_speed_of_closure_importance,abilities_speed_of_closure_level,abilities_speed_of_limb_movement_importance,abilities_speed_of_limb_movement_level,abilities_stamina_importance,abilities_stamina_level,abilities_static_strength_importance,abilities_static_strength_level,abilities_time_sharing_importance,abilities_time_sharing_level,abilities_trunk_strength_importance,abilities_trunk_strength_level,abilities_visual_color_discrimination_importance,abilities_visual_color_discrimination_level,abilities_visualization_importance,abilities_visualization_level,abilities_wrist-finger_speed_importance,abilities_wrist-finger_speed_level,abilities_written_comprehension_importance,abilities_written_comprehension_level,abilities_written_expression_importance,abilities_written_expression_level
15-2031.00,Operations Research Analysts,mathematical_reasoning|deductive_reasoning|inductive_reasoning|oral_comprehension|written_comprehension|oral_expression|written_expression|problem_sensitivity|number_facility|information_ordering|near_vision|fluency_of_ideas|originality|category_flexibility|speech_clarity|flexibility_of_closure|speech_recognition|selective_attention|memorization|far_vision|perceptual_speed|speed_of_closure|visualization|time_sharing|auditory_attention|visual_color_discrimination|trunk_strength|hearing_sensitivity|finger_dexterity|wrist-finger_speed|depth_perception|glare_sensitivity|gross_body_coordination|peripheral_vision|night_vision|sound_localization|gross_body_equilibrium|dynamic_strength|dynamic_flexibility|extent_flexibility|stamina|explosive_strength|static_strength|speed_of_limb_movement|reaction_time|rate_control|multilimb_coordination|control_precision|manual_dexterity|arm-hand_steadiness|spatial_orientation|response_orientation,oral_comprehension|mathematical_reasoning|written_comprehension|inductive_reasoning|oral_expression|deductive_reasoning|number_facility|fluency_of_ideas|problem_sensitivity|information_ordering|written_expression|originality|category_flexibility|near_vision|flexibility_of_closure|speech_clarity|selective_attention|speech_recognition|memorization|visualization|far_vision|perceptual_speed|speed_of_closure|time_sharing|visual_color_discrimination|trunk_strength|auditory_attention|hearing_sensitivity|wrist-finger_speed|finger_dexterity|depth_perception|multilimb_coordination|control_precision|arm-hand_steadiness|sound_localization|glare_sensitivity|peripheral_vision|night_vision|manual_dexterity|gross_body_equilibrium|rate_control|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|spatial_orientation|dynamic_strength|explosive_strength|static_strength|speed_of_limb_movement|reaction_time|response_orientation,1.0,0.0,1.75,0.75,3.62,4.0,1.0,0.0,4.12,4.5,1.25,0.25,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.75,2.62,1.38,0.38,3.12,3.25,3.62,4.12,1.0,0.0,1.0,0.0,1.0,0.0,1.62,0.75,4.12,4.62,3.88,4.12,1.0,0.0,4.5,4.75,2.88,2.75,1.0,0.0,3.75,3.75,1.0,0.0,4.0,4.38,4.0,4.75,4.0,4.5,3.62,4.0,2.75,2.5,1.0,0.0,4.0,4.12,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,3.25,3.25,3.12,3.0,2.5,2.5,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.75,1.12,1.75,1.12,2.12,2.62,1.38,0.38,4.0,4.75,4.0,4.0
15-2041.00,Statisticians,mathematical_reasoning|number_facility|written_comprehension|oral_comprehension|oral_expression|written_expression|near_vision|inductive_reasoning|deductive_reasoning|information_ordering|speech_clarity|category_flexibility|fluency_of_ideas|problem_sensitivity|speech_recognition|originality|flexibility_of_closure|speed_of_closure|perceptual_speed|selective_attention|memorization|far_vision|visualization|time_sharing|trunk_strength|visual_color_discrimination|hearing_sensitivity|auditory_attention|depth_perception|wrist-finger_speed|finger_dexterity|peripheral_vision|night_vision|glare_sensitivity|gross_body_coordination|sound_localization|gross_body_equilibrium|static_strength|dynamic_flexibility|extent_flexibility|stamina|dynamic_strength|explosive_strength|speed_of_limb_movement|reaction_time|rate_control|multilimb_coordination|control_precision|manual_dexterity|arm-hand_steadiness|spatial_orientation|response_orientation,number_facility|mathematical_reasoning|oral_comprehension|written_expression|deductive_reasoning|inductive_reasoning|oral_expression|written_comprehension|near_vision|information_ordering|fluency_of_ideas|category_flexibility|speech_clarity|originality|problem_sensitivity|flexibility_of_closure|speech_recognition|selective_attention|speed_of_closure|perceptual_speed|far_vision|memorization|visualization|time_sharing|trunk_strength|visual_color_discrimination|finger_dexterity|hearing_sensitivity|auditory_attention|wrist-finger_speed|depth_perception|glare_sensitivity|night_vision|peripheral_vision|gross_body_coordination|sound_localization|gross_body_equilibrium|explosive_strength|dynamic_flexibility|extent_flexibility|stamina|dynamic_strength|static_strength|speed_of_limb_movement|reaction_time|rate_control|multilimb_coordination|control_precision|manual_dexterity|arm-hand_steadiness|spatial_orientation|response_orientation,1.0,0.0,1.88,1.0,3.62,3.75,1.0,0.0,3.88,4.88,1.62,0.62,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.75,2.88,1.62,1.0,3.0,3.12,3.38,3.88,1.0,0.0,1.0,0.0,1.0,0.0,1.88,1.0,4.0,4.88,3.75,4.0,1.0,0.0,4.75,5.0,2.75,2.75,1.0,0.0,4.0,4.0,1.0,0.0,4.38,5.12,4.0,4.88,4.0,4.75,3.0,3.62,2.88,2.88,1.0,0.0,3.25,3.5,1.0,0.0,1.0,0.0,1.0,0.0,2.88,3.0,1.0,0.0,1.0,0.0,3.62,3.62,3.12,3.12,2.88,2.88,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,1.38,2.0,1.12,2.62,2.75,1.62,0.75,4.12,4.75,4.0,4.88
15-2041.01,Biostatisticians,mathematical_reasoning|inductive_reasoning|deductive_reasoning|oral_expression|written_comprehension|oral_comprehension|information_ordering|speech_clarity|problem_sensitivity|written_expression|number_facility|speech_recognition|near_vision|category_flexibility|fluency_of_ideas|originality|speed_of_closure|flexibility_of_closure|visualization|memorization|perceptual_speed|selective_attention|far_vision|time_sharing|finger_dexterity|auditory_attention|hearing_sensitivity|depth_perception|visual_color_discrimination|manual_dexterity|arm-hand_steadiness|trunk_strength|control_precision|wrist-finger_speed|static_strength|sound_localization|glare_sensitivity|peripheral_vision|night_vision|speed_of_limb_movement|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|dynamic_strength|explosive_strength|reaction_time|rate_control|multilimb_coordination|spatial_orientation|response_orientation,oral_comprehension|oral_expression|written_comprehension|mathematical_reasoning|inductive_reasoning|written_expression|deductive_reasoning|information_ordering|number_facility|speech_clarity|category_flexibility|problem_sensitivity|fluency_of_ideas|speech_recognition|originality|near_vision|visualization|flexibility_of_closure|speed_of_closure|perceptual_speed|selective_attention|memorization|far_vision|time_sharing|finger_dexterity|visual_color_discrimination|trunk_strength|hearing_sensitivity|auditory_attention|depth_perception|wrist-finger_speed|arm-hand_steadiness|manual_dexterity|control_precision|static_strength|stamina|peripheral_vision|spatial_orientation|sound_localization|multilimb_coordination|rate_control|glare_sensitivity|reaction_time|night_vision|extent_flexibility|speed_of_limb_movement|explosive_strength|dynamic_strength|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|response_orientation,1.5,0.5,1.62,0.75,3.62,4.0,1.38,0.38,4.12,4.88,1.62,0.75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.62,2.62,1.75,1.62,3.0,3.0,3.62,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.62,0.88,4.25,5.0,3.88,4.25,1.5,0.5,4.25,5.0,2.88,2.88,1.0,0.0,3.62,3.75,1.0,0.0,3.75,4.12,4.0,5.12,4.12,5.12,3.25,3.88,2.88,2.88,1.0,0.0,3.88,4.0,1.0,0.0,1.0,0.0,1.0,0.0,2.88,2.88,1.0,0.0,1.0,0.0,3.88,4.12,3.75,3.88,3.0,3.0,1.0,0.0,1.0,0.0,1.12,0.12,1.88,1.75,1.5,1.0,1.62,1.12,3.0,3.12,1.38,0.5,4.12,5.0,3.88,4.88
15-2051.00,Data Scientists,deductive_reasoning|inductive_reasoning|mathematical_reasoning|information_ordering|written_comprehension|near_vision|written_expression|problem_sensitivity|oral_comprehension|category_flexibility|number_facility|speech_clarity|oral_expression|flexibility_of_closure|originality|selective_attention|speech_recognition|fluency_of_ideas|speed_of_closure|perceptual_speed|visualization|far_vision|time_sharing|memorization|trunk_strength|wrist-finger_speed|finger_dexterity|visual_color_discrimination|arm-hand_steadiness|auditory_attention|manual_dexterity|hearing_sensitivity|depth_perception|control_precision|dynamic_strength|spatial_orientation|sound_localization|peripheral_vision|night_vision|glare_sensitivity|explosive_strength|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|static_strength|speed_of_limb_movement|reaction_time|rate_control|multilimb_coordination|response_orientation,deductive_reasoning|inductive_reasoning|oral_comprehension|written_comprehension|oral_expression|mathematical_reasoning|written_expression|information_ordering|problem_sensitivity|number_facility|near_vision|originality|category_flexibility|speech_clarity|fluency_of_ideas|flexibility_of_closure|selective_attention|speed_of_closure|speech_recognition|far_vision|perceptual_speed|visualization|time_sharing|memorization|wrist-finger_speed|trunk_strength|visual_color_discrimination|arm-hand_steadiness|finger_dexterity|auditory_attention|manual_dexterity|hearing_sensitivity|depth_perception|control_precision|dynamic_strength|spatial_orientation|stamina|peripheral_vision|sound_localization|multilimb_coordination|rate_control|glare_sensitivity|reaction_time|night_vision|extent_flexibility|speed_of_limb_movement|static_strength|explosive_strength|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|response_orientation,1.75,1.0,1.75,1.0,3.75,3.75,1.5,0.5,4.25,4.75,1.5,0.5,1.0,0.0,1.38,0.38,1.0,0.0,1.0,0.0,2.62,2.88,1.75,1.0,3.5,3.5,3.12,3.62,1.0,0.0,1.0,0.0,1.0,0.0,1.5,0.75,4.25,4.75,4.12,4.12,1.62,0.75,4.12,4.38,2.38,2.25,1.0,0.0,3.88,3.88,1.0,0.0,3.62,4.0,3.75,4.62,3.62,4.5,3.38,3.88,2.88,2.88,1.0,0.0,3.88,4.0,1.0,0.0,1.0,0.0,1.0,0.0,3.25,3.25,1.0,0.0,1.25,0.25,3.62,3.62,3.25,3.25,3.0,3.25,1.0,0.0,1.0,0.0,1.0,0.0,2.5,2.38,2.25,1.75,1.75,1.38,2.62,2.62,2.12,2.0,4.0,4.5,3.88,4.25
15-2051.01,Business Intelligence Analysts,oral_comprehension|oral_expression|written_expression|written_comprehension|inductive_reasoning|deductive_reasoning|information_ordering|category_flexibility|mathematical_reasoning|speech_clarity|fluency_of_ideas|speech_recognition|flexibility_of_closure|problem_sensitivity|number_facility|near_vision|originality|speed_of_closure|selective_attention|far_vision|perceptual_speed|visualization|time_sharing|memorization|trunk_strength|wrist-finger_speed|visual_color_discrimination|hearing_sensitivity|auditory_attention|finger_dexterity|depth_perception|dynamic_strength|peripheral_vision|night_vision|glare_sensitivity|gross_body_coordination|sound_localization|gross_body_equilibrium|static_strength|dynamic_flexibility|extent_flexibility|stamina|explosive_strength|speed_of_limb_movement|reaction_time|rate_control|multilimb_coordination|control_precision|manual_dexterity|arm-hand_steadiness|spatial_orientation|response_orientation,oral_comprehension|oral_expression|written_comprehension|deductive_reasoning|inductive_reasoning|written_expression|information_ordering|category_flexibility|fluency_of_ideas|mathematical_reasoning|number_facility|near_vision|speech_clarity|problem_sensitivity|speech_recognition|originality|flexibility_of_closure|selective_attention|speed_of_closure|perceptual_speed|far_vision|memorization|time_sharing|visualization|trunk_strength|visual_color_discrimination|hearing_sensitivity|auditory_attention|wrist-finger_speed|finger_dexterity|depth_perception|dynamic_strength|glare_sensitivity|night_vision|peripheral_vision|gross_body_coordination|sound_localization|gross_body_equilibrium|explosive_strength|dynamic_flexibility|extent_flexibility|stamina|static_strength|speed_of_limb_movement|reaction_time|rate_control|multilimb_coordination|control_precision|manual_dexterity|arm-hand_steadiness|spatial_orientation|response_orientation,1.0,0.0,1.62,0.75,3.62,4.0,1.0,0.0,3.75,4.5,1.38,0.38,1.0,0.0,1.25,0.25,1.0,0.0,1.0,0.0,2.62,2.62,1.5,0.5,3.25,3.12,3.38,3.88,1.0,0.0,1.0,0.0,1.0,0.0,1.62,0.75,4.0,4.38,3.62,4.0,1.0,0.0,3.5,3.75,2.0,2.25,1.0,0.0,3.12,3.5,1.0,0.0,3.12,3.62,4.0,4.75,4.0,4.75,3.12,3.25,2.5,2.75,1.0,0.0,3.25,3.5,1.0,0.0,1.0,0.0,1.0,0.0,2.75,3.0,1.0,0.0,1.0,0.0,3.5,3.5,3.38,3.38,2.75,2.88,1.0,0.0,1.0,0.0,1.0,0.0,2.12,2.12,1.75,1.12,1.62,0.88,2.25,2.0,1.62,0.62,4.0,4.62,4.0,4.12
15-2051.02,Clinical Data Managers,deductive_reasoning|information_ordering|oral_comprehension|written_comprehension|oral_expression|written_expression|near_vision|problem_sensitivity|inductive_reasoning|speech_recognition|speech_clarity|mathematical_reasoning|category_flexibility|flexibility_of_closure|fluency_of_ideas|number_facility|originality|selective_attention|perceptual_speed|memorization|speed_of_closure|far_vision|time_sharing|visualization|auditory_attention|finger_dexterity|hearing_sensitivity|wrist-finger_speed|visual_color_discrimination|trunk_strength|manual_dexterity|arm-hand_steadiness|depth_perception|dynamic_strength|control_precision|night_vision|glare_sensitivity|peripheral_vision|sound_localization|static_strength|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|explosive_strength|speed_of_limb_movement|reaction_time|rate_control|multilimb_coordination|spatial_orientation|response_orientation,oral_comprehension|written_comprehension|deductive_reasoning|oral_expression|written_expression|information_ordering|problem_sensitivity|inductive_reasoning|category_flexibility|mathematical_reasoning|near_vision|fluency_of_ideas|speech_recognition|speech_clarity|originality|number_facility|flexibility_of_closure|perceptual_speed|selective_attention|speed_of_closure|memorization|far_vision|visualization|time_sharing|finger_dexterity|hearing_sensitivity|visual_color_discrimination|auditory_attention|wrist-finger_speed|trunk_strength|depth_perception|dynamic_strength|arm-hand_steadiness|manual_dexterity|control_precision|explosive_strength|static_strength|spatial_orientation|sound_localization|glare_sensitivity|peripheral_vision|night_vision|multilimb_coordination|rate_control|reaction_time|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|speed_of_limb_movement|response_orientation,1.38,0.38,1.88,0.88,3.25,3.88,1.25,0.25,4.12,4.25,1.38,0.38,1.0,0.0,1.38,0.38,1.0,0.0,1.0,0.0,2.38,2.5,1.88,1.62,3.12,3.25,3.12,3.5,1.0,0.0,1.0,0.0,1.0,0.0,1.75,1.0,3.88,3.88,4.12,4.0,1.38,0.38,3.38,3.62,2.62,2.62,1.0,0.0,3.88,3.62,1.0,0.0,3.12,3.25,4.0,4.25,4.0,4.12,3.0,3.38,2.88,3.0,1.0,0.0,3.88,3.88,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,3.75,3.38,3.75,3.38,2.62,2.75,1.0,0.0,1.0,0.0,1.0,0.0,2.25,1.75,1.62,0.88,1.75,0.88,2.25,2.12,1.75,0.88,4.0,4.25,3.88,4.12
15-2099.01,Bioinformatics Technicians,written_comprehension|oral_comprehension|deductive_reasoning|inductive_reasoning|written_expression|information_ordering|mathematical_reasoning|oral_expression|selective_attention|flexibility_of_closure|speech_recognition|near_vision|speech_clarity|problem_sensitivity|category_flexibility|fluency_of_ideas|number_facility|perceptual_speed|visualization|originality|memorization|far_vision|time_sharing|speed_of_closure|finger_dexterity|visual_color_discrimination|hearing_sensitivity|auditory_attention|depth_perception|wrist-finger_speed|control_precision|glare_sensitivity|peripheral_vision|night_vision|gross_body_coordination|sound_localization|gross_body_equilibrium|explosive_strength|dynamic_flexibility|extent_flexibility|stamina|trunk_strength|dynamic_strength|static_strength|speed_of_limb_movement|reaction_time|rate_control|multilimb_coordination|manual_dexterity|arm-hand_steadiness|spatial_orientation|response_orientation,written_comprehension|oral_comprehension|oral_expression|written_expression|mathematical_reasoning|near_vision|problem_sensitivity|inductive_reasoning|category_flexibility|deductive_reasoning|information_ordering|flexibility_of_closure|fluency_of_ideas|speech_recognition|number_facility|selective_attention|speech_clarity|perceptual_speed|originality|visualization|far_vision|memorization|speed_of_closure|time_sharing|visual_color_discrimination|finger_dexterity|hearing_sensitivity|auditory_attention|depth_perception|wrist-finger_speed|control_precision|night_vision|spatial_orientation|peripheral_vision|glare_sensitivity|gross_body_coordination|sound_localization|gross_body_equilibrium|trunk_strength|dynamic_flexibility|extent_flexibility|stamina|dynamic_strength|explosive_strength|static_strength|speed_of_limb_movement|reaction_time|rate_control|multilimb_coordination|manual_dexterity|arm-hand_steadiness|response_orientation,1.0,0.0,1.88,1.5,3.38,3.88,1.12,0.25,3.75,3.75,1.62,0.88,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.88,3.0,2.5,2.25,3.38,3.62,3.25,3.5,1.0,0.0,1.0,0.0,1.0,0.0,1.88,1.5,3.75,3.88,3.62,3.62,1.0,0.0,3.62,4.12,2.88,2.88,1.0,0.0,3.38,4.0,1.0,0.0,3.12,3.38,3.75,4.38,3.5,4.38,3.0,3.25,3.0,3.25,1.0,0.0,3.38,3.88,1.0,0.0,1.0,0.0,1.0,0.0,3.5,3.25,1.0,0.0,1.0,0.0,3.38,3.25,3.38,3.5,2.75,2.88,1.0,0.0,1.0,0.0,1.0,0.0,2.75,2.75,1.0,0.0,2.5,2.38,3.0,3.12,1.25,0.38,4.0,4.5,3.62,4.12
17-1011.00,"Architects, Except Landscape and Naval",visualization|deductive_reasoning|oral_comprehension|oral_expression|written_expression|problem_sensitivity|inductive_reasoning|written_comprehension|originality|information_ordering|category_flexibility|near_vision|fluency_of_ideas|far_vision|speech_recognition|speech_clarity|flexibility_of_closure|mathematical_reasoning|perceptual_speed|number_facility|selective_attention|speed_of_closure|memorization|visual_color_discrimination|time_sharing|depth_perception|spatial_orientation|finger_dexterity|trunk_strength|arm-hand_steadiness|manual_dexterity|control_precision|auditory_attention|wrist-finger_speed|hearing_sensitivity|multilimb_coordination|sound_localization|glare_sensitivity|peripheral_vision|night_vision|rate_control|speed_of_limb_movement|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|reaction_time|dynamic_strength|explosive_strength|static_strength|response_orientation,deductive_reasoning|oral_comprehension|oral_expression|visualization|near_vision|written_comprehension|problem_sensitivity|written_expression|originality|inductive_reasoning|fluency_of_ideas|category_flexibility|number_facility|information_ordering|mathematical_reasoning|far_vision|flexibility_of_closure|speech_recognition|speech_clarity|selective_attention|perceptual_speed|speed_of_closure|visual_color_discrimination|memorization|depth_perception|time_sharing|control_precision|spatial_orientation|arm-hand_steadiness|finger_dexterity|manual_dexterity|auditory_attention|trunk_strength|hearing_sensitivity|wrist-finger_speed|multilimb_coordination|glare_sensitivity|sound_localization|peripheral_vision|night_vision|stamina|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|dynamic_strength|explosive_strength|static_strength|speed_of_limb_movement|reaction_time|rate_control|response_orientation,2.0,2.0,1.88,1.62,4.0,4.12,2.0,2.0,4.25,5.12,2.5,2.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.75,4.0,2.25,2.0,3.62,3.75,3.88,4.38,1.0,0.0,1.0,0.0,1.0,0.0,1.5,0.88,4.12,4.38,4.0,4.12,2.0,1.88,3.38,4.0,2.88,2.88,1.38,0.38,4.0,4.62,1.0,0.0,3.25,4.12,4.12,4.88,4.12,4.88,4.0,4.38,3.25,3.0,1.0,0.0,4.12,4.5,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.12,1.0,0.0,2.25,2.0,3.62,3.5,3.62,3.62,3.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.62,2.5,2.0,1.5,2.75,2.88,4.25,4.75,1.62,0.75,4.12,4.62,4.12,4.5
17-1012.00,Landscape Architects,oral_comprehension|oral_expression|visualization|originality|written_comprehension|written_expression|fluency_of_ideas|deductive_reasoning|inductive_reasoning|speech_recognition|near_vision|speech_clarity|category_flexibility|problem_sensitivity|information_ordering|visual_color_discrimination|far_vision|number_facility|mathematical_reasoning|selective_attention|flexibility_of_closure|time_sharing|perceptual_speed|memorization|arm-hand_steadiness|finger_dexterity|speed_of_closure|manual_dexterity|control_precision|depth_perception|auditory_attention|trunk_strength|hearing_sensitivity|spatial_orientation|wrist-finger_speed|multilimb_coordination|glare_sensitivity|peripheral_vision|night_vision|sound_localization|explosive_strength|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|dynamic_strength|static_strength|speed_of_limb_movement|reaction_time|rate_control|response_orientation,oral_comprehension|visualization|oral_expression|fluency_of_ideas|written_expression|originality|problem_sensitivity|deductive_reasoning|speech_recognition|category_flexibility|written_comprehension|near_vision|speech_clarity|inductive_reasoning|information_ordering|mathematical_reasoning|number_facility|far_vision|selective_attention|visual_color_discrimination|flexibility_of_closure|time_sharing|memorization|perceptual_speed|speed_of_closure|depth_perception|finger_dexterity|control_precision|arm-hand_steadiness|hearing_sensitivity|manual_dexterity|auditory_attention|trunk_strength|spatial_orientation|multilimb_coordination|wrist-finger_speed|glare_sensitivity|sound_localization|peripheral_vision|night_vision|explosive_strength|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|dynamic_strength|static_strength|speed_of_limb_movement|reaction_time|rate_control|response_orientation,2.12,1.75,2.0,1.5,3.88,4.0,2.0,1.88,4.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.12,3.25,2.12,1.88,2.88,2.88,4.0,4.12,1.0,0.0,1.0,0.0,1.0,0.0,1.88,1.75,4.0,3.75,3.5,3.75,2.0,1.62,3.0,3.25,2.38,2.5,1.62,0.62,3.88,3.88,1.0,0.0,3.0,3.25,4.25,4.38,4.25,4.25,4.12,4.0,2.38,2.5,1.0,0.0,3.88,4.0,1.0,0.0,1.0,0.0,1.0,0.0,2.88,3.0,1.0,0.0,1.75,1.0,3.88,3.75,3.88,4.0,2.12,2.12,1.0,0.0,1.0,0.0,1.0,0.0,2.75,2.75,1.88,1.12,3.12,2.88,4.12,4.25,1.62,0.62,4.12,4.0,4.0,4.0
17-1021.00,Cartographers and Photogrammetrists,written_comprehension|oral_comprehension|near_vision|inductive_reasoning|oral_expression|written_expression|deductive_reasoning|flexibility_of_closure|far_vision|information_ordering|visualization|speech_recognition|speech_clarity|problem_sensitivity|category_flexibility|originality|fluency_of_ideas|perceptual_speed|mathematical_reasoning|selective_attention|number_facility|visual_color_discrimination|arm-hand_steadiness|finger_dexterity|speed_of_closure|control_precision|time_sharing|memorization|auditory_attention|depth_perception|manual_dexterity|trunk_strength|hearing_sensitivity|dynamic_strength|extent_flexibility|wrist-finger_speed|spatial_orientation|multilimb_coordination|response_orientation|reaction_time|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|stamina|night_vision|peripheral_vision|static_strength|glare_sensitivity|speed_of_limb_movement|sound_localization|rate_control|explosive_strength,oral_comprehension|near_vision|written_comprehension|oral_expression|inductive_reasoning|written_expression|deductive_reasoning|category_flexibility|information_ordering|far_vision|flexibility_of_closure|visualization|problem_sensitivity|speech_recognition|number_facility|visual_color_discrimination|speech_clarity|fluency_of_ideas|perceptual_speed|originality|mathematical_reasoning|memorization|selective_attention|finger_dexterity|control_precision|speed_of_closure|arm-hand_steadiness|time_sharing|manual_dexterity|auditory_attention|depth_perception|hearing_sensitivity|trunk_strength|extent_flexibility|spatial_orientation|wrist-finger_speed|dynamic_strength|multilimb_coordination|response_orientation|reaction_time|peripheral_vision|sound_localization|rate_control|glare_sensitivity|stamina|speed_of_limb_movement|static_strength|explosive_strength|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|night_vision,2.88,2.75,2.25,2.0,3.12,3.62,2.75,2.88,3.5,3.88,2.25,2.0,1.0,0.0,1.5,0.62,1.0,0.0,1.5,0.75,3.25,3.5,2.88,2.88,3.38,3.5,3.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.75,1.5,3.62,4.0,3.25,3.5,2.25,2.0,3.0,3.0,2.5,2.88,1.25,0.25,3.88,4.12,1.0,0.0,2.88,3.12,3.88,4.12,3.5,4.0,3.0,3.0,3.0,3.0,1.0,0.0,3.12,3.38,1.0,0.0,1.12,0.12,1.12,0.12,3.0,2.88,1.0,0.0,1.38,0.62,3.12,3.0,3.12,3.12,2.75,2.88,1.0,0.0,1.0,0.0,1.0,0.0,2.62,2.62,2.0,1.38,2.88,3.0,3.25,3.38,1.38,0.62,4.0,4.12,3.5,3.88
