ONET_SOC_CODE,title,essential_skills_importance_ranked,essential_skills_level_ranked,essential_skills_reading_comprehension_importance,essential_skills_reading_comprehension_level,essential_skills_active_listening_importance,essential_skills_active_listening_level,essential_skills_writing_importance,essential_skills_writing_level,essential_skills_speaking_importance,essential_skills_speaking_level,essential_skills_mathematics_importance,essential_skills_mathematics_level,essential_skills_science_importance,essential_skills_science_level,essential_skills_critical_thinking_importance,essential_skills_critical_thinking_level,essential_skills_active_learning_importance,essential_skills_active_learning_level,essential_skills_learning_strategies_importance,essential_skills_learning_strategies_level,essential_skills_monitoring_importance,essential_skills_monitoring_level
11-3013.01,Security Managers,critical_thinking|reading_comprehension|active_listening|speaking|monitoring|writing|active_learning|learning_strategies|mathematics|science,monitoring|critical_thinking|reading_comprehension|active_listening|speaking|writing|active_learning|learning_strategies|mathematics|science,4.12,4.0,4.12,4.0,3.75,3.88,4.0,4.0,2.5,2.38,1.38,0.38,4.25,4.12,3.62,3.62,3.38,3.5,4.0,4.62
11-3021.00,Computer and Information Systems Managers,critical_thinking|reading_comprehension|active_listening|speaking|monitoring|writing|active_learning|learning_strategies|mathematics|science,monitoring|reading_comprehension|active_listening|writing|critical_thinking|speaking|active_learning|learning_strategies|mathematics|science,4.0,4.0,4.0,4.0,3.75,4.0,3.88,3.88,3.12,3.12,1.75,1.38,4.12,4.0,3.38,3.88,3.25,3.5,3.88,4.38
11-3031.00,Financial Managers,reading_comprehension|active_listening|speaking|critical_thinking|writing|monitoring|mathematics|active_learning|learning_strategies|science,reading_comprehension|active_listening|critical_thinking|speaking|monitoring|active_learning|writing|mathematics|learning_strategies|science,4.0,4.38,4.0,4.38,3.75,3.62,4.0,4.12,3.5,3.62,1.25,0.25,4.0,4.25,3.5,4.0,3.0,3.38,3.75,4.12
11-3031.01,Treasurers and Controllers,reading_comprehension|active_listening|speaking|mathematics|critical_thinking|active_learning|monitoring|writing|learning_strategies|science,critical_thinking|monitoring|reading_comprehension|speaking|mathematics|active_learning|active_listening|writing|learning_strategies|science,4.0,4.38,4.0,4.25,3.62,4.12,4.0,4.38,4.0,4.38,1.0,0.0,4.0,4.88,3.88,4.38,3.0,3.0,3.88,4.62
11-3031.03,Investment Fund Managers,reading_comprehension|active_listening|critical_thinking|speaking|active_learning|writing|monitoring|mathematics|learning_strategies|science,reading_comprehension|active_listening|speaking|critical_thinking|monitoring|writing|active_learning|mathematics|learning_strategies|science,4.0,4.25,4.0,4.12,3.62,3.88,3.88,4.12,3.38,3.62,1.0,0.0,4.0,4.0,3.75,3.88,2.88,3.12,3.5,4.0
11-3051.00,Industrial Production Managers,speaking|critical_thinking|monitoring|reading_comprehension|active_listening|learning_strategies|active_learning|writing|mathematics|science,monitoring|reading_comprehension|active_listening|writing|speaking|critical_thinking|active_learning|learning_strategies|mathematics|science,3.88,4.0,3.88,4.0,3.38,4.0,4.0,4.0,3.38,3.75,1.62,1.12,4.0,4.0,3.62,4.0,3.75,4.0,4.0,4.88
11-3051.01,Quality Control Systems Managers,reading_comprehension|active_listening|writing|speaking|monitoring|critical_thinking|active_learning|mathematics|learning_strategies|science,monitoring|reading_comprehension|active_listening|speaking|critical_thinking|active_learning|writing|learning_strategies|mathematics|science,4.0,4.12,3.88,4.12,3.88,4.0,3.88,4.12,3.12,3.25,2.25,2.25,3.75,4.12,3.62,4.12,3.12,3.38,3.88,4.5
11-3051.02,Geothermal Production Managers,critical_thinking|reading_comprehension|speaking|monitoring|active_listening|writing|active_learning|mathematics|learning_strategies|science,monitoring|reading_comprehension|speaking|critical_thinking|writing|mathematics|active_listening|learning_strategies|active_learning|science,3.88,4.25,3.62,3.62,3.62,3.75,3.88,4.0,3.25,3.75,2.38,2.5,4.0,3.88,3.5,3.25,3.25,3.38,3.88,4.38
11-3051.03,Biofuels Production Managers,reading_comprehension|critical_thinking|active_listening|monitoring|speaking|writing|learning_strategies|active_learning|mathematics|science,reading_comprehension|speaking|active_listening|critical_thinking|monitoring|active_learning|writing|science|learning_strategies|mathematics,3.88,4.0,3.75,3.88,3.5,3.5,3.62,4.0,3.0,3.25,3.0,3.5,3.88,3.88,3.25,3.62,3.38,3.5,3.75,3.88
11-3051.04,Biomass Power Plant Managers,speaking|critical_thinking|reading_comprehension|active_listening|monitoring|writing|active_learning|mathematics|learning_strategies|science,monitoring|reading_comprehension|speaking|critical_thinking|active_listening|writing|active_learning|mathematics|learning_strategies|science,3.88,4.25,3.88,3.88,3.12,3.75,4.0,4.0,3.0,3.25,2.5,2.5,4.0,4.0,3.12,3.38,3.0,3.12,3.88,4.62
11-3051.06,Hydroelectric Production Managers,active_listening|speaking|reading_comprehension|monitoring|critical_thinking|active_learning|learning_strategies|writing|mathematics|science,reading_comprehension|speaking|active_listening|critical_thinking|writing|learning_strategies|monitoring|active_learning|mathematics|science,3.88,4.12,4.12,4.0,3.5,3.88,4.12,4.12,3.25,3.5,3.25,3.25,3.75,4.0,3.62,3.62,3.62,3.75,3.88,3.75
11-3061.00,Purchasing Managers,active_listening|speaking|reading_comprehension|writing|monitoring|critical_thinking|active_learning|mathematics|learning_strategies|science,reading_comprehension|active_listening|writing|speaking|critical_thinking|monitoring|active_learning|learning_strategies|mathematics|science,3.88,4.0,4.0,4.0,3.88,4.0,4.0,4.0,3.12,3.12,1.0,0.0,3.75,4.0,3.25,3.75,3.0,3.75,3.88,4.0
11-3071.00,"Transportation, Storage, and Distribution Managers",reading_comprehension|active_listening|monitoring|writing|speaking|critical_thinking|active_learning|learning_strategies|mathematics|science,active_listening|reading_comprehension|speaking|monitoring|writing|critical_thinking|active_learning|learning_strategies|mathematics|science,3.88,3.75,3.88,3.88,3.62,3.62,3.62,3.75,2.75,2.88,1.0,0.0,3.62,3.62,3.62,3.62,3.38,3.25,3.75,3.75
11-3071.04,Supply Chain Managers,reading_comprehension|active_listening|speaking|monitoring|writing|critical_thinking|active_learning|mathematics|learning_strategies|science,monitoring|reading_comprehension|active_listening|writing|speaking|critical_thinking|active_learning|learning_strategies|mathematics|science,4.0,4.0,4.0,4.0,3.88,4.0,4.0,4.0,3.0,3.0,1.12,0.38,3.88,4.0,3.75,3.75,3.0,3.25,4.0,4.12
11-3111.00,Compensation and Benefits Managers,reading_comprehension|active_listening|writing|speaking|critical_thinking|active_learning|monitoring|mathematics|learning_strategies|science,reading_comprehension|active_listening|writing|speaking|critical_thinking|active_learning|monitoring|mathematics|learning_strategies|science,4.0,4.12,4.0,4.12,4.0,4.12,4.0,4.12,3.0,3.12,1.0,0.0,3.88,4.0,3.75,4.0,3.0,3.12,3.38,3.62
11-3121.00,Human Resources Managers,active_listening|reading_comprehension|speaking|writing|critical_thinking|active_learning|monitoring|learning_strategies|mathematics|science,reading_comprehension|critical_thinking|active_listening|speaking|active_learning|monitoring|writing|learning_strategies|mathematics|science,4.25,4.38,4.38,4.12,4.12,4.0,4.25,4.12,3.0,3.0,1.5,0.5,4.0,4.25,4.0,4.12,3.75,3.88,4.0,4.12
11-3131.00,Training and Development Managers,learning_strategies|reading_comprehension|active_listening|speaking|writing|monitoring|critical_thinking|active_learning|mathematics|science,learning_strategies|speaking|active_learning|writing|reading_comprehension|active_listening|critical_thinking|monitoring|mathematics|science,4.0,4.0,4.0,4.0,3.88,4.12,4.0,4.5,2.88,2.88,1.5,0.38,3.75,4.0,3.75,4.25,4.25,5.25,3.88,4.0
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",active_listening|critical_thinking|reading_comprehension|speaking|active_learning|monitoring|writing|mathematics|learning_strategies|science,reading_comprehension|speaking|active_listening|critical_thinking|monitoring|writing|active_learning|learning_strategies|mathematics|science,3.75,4.25,3.88,4.0,3.25,3.62,3.62,4.12,2.88,3.0,2.62,2.5,3.88,4.0,3.38,3.62,2.88,3.25,3.38,3.75
11-9021.00,Construction Managers,active_listening|critical_thinking|reading_comprehension|speaking|active_learning|monitoring|writing|mathematics|learning_strategies|science,monitoring|critical_thinking|reading_comprehension|active_listening|speaking|active_learning|writing|mathematics|learning_strategies|science,3.88,4.25,4.0,4.12,3.75,3.88,3.88,4.12,3.5,3.88,2.12,2.0,4.0,4.38,3.88,4.0,3.12,3.25,3.88,4.5
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",reading_comprehension|active_listening|speaking|critical_thinking|writing|active_learning|learning_strategies|monitoring|mathematics|science,monitoring|reading_comprehension|active_listening|writing|speaking|critical_thinking|active_learning|learning_strategies|mathematics|science,4.0,4.0,4.0,4.0,3.88,4.0,4.0,4.0,2.75,2.75,1.88,1.0,4.0,4.0,3.88,3.88,3.88,3.88,3.88,4.25
11-9032.00,"Education Administrators, Kindergarten through Secondary",active_listening|learning_strategies|reading_comprehension|speaking|writing|critical_thinking|active_learning|monitoring|mathematics|science,active_listening|learning_strategies|reading_comprehension|writing|speaking|critical_thinking|monitoring|active_learning|mathematics|science,4.75,4.88,4.88,5.0,4.62,4.88,4.75,4.75,3.0,3.12,2.0,1.12,4.62,4.5,4.0,4.0,4.88,5.0,4.0,4.5
11-9033.00,"Education Administrators, Postsecondary",reading_comprehension|critical_thinking|active_listening|writing|speaking|monitoring|active_learning|learning_strategies|mathematics|science,reading_comprehension|active_listening|writing|speaking|critical_thinking|monitoring|active_learning|learning_strategies|mathematics|science,4.12,4.62,4.0,4.25,4.0,4.25,4.0,4.25,2.88,3.12,1.5,0.5,4.12,4.25,3.88,4.0,3.75,4.0,4.0,4.25
11-9041.00,Architectural and Engineering Managers,reading_comprehension|active_listening|writing|speaking|mathematics|critical_thinking|active_learning|monitoring|learning_strategies|science,reading_comprehension|mathematics|critical_thinking|writing|active_listening|speaking|monitoring|active_learning|learning_strategies|science,4.12,4.38,4.0,4.0,4.0,4.12,4.0,4.0,3.88,4.25,2.62,2.75,3.88,4.25,3.88,3.88,3.25,3.12,3.75,4.0
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,reading_comprehension|writing|speaking|critical_thinking|active_listening|active_learning|monitoring|mathematics|science|learning_strategies,reading_comprehension|critical_thinking|writing|monitoring|active_learning|active_listening|speaking|learning_strategies|mathematics|science,3.62,4.25,3.5,3.62,3.62,3.88,3.62,3.5,3.12,3.12,3.12,3.0,3.62,4.12,3.25,3.75,2.88,3.25,3.25,3.88
11-9051.00,Food Service Managers,active_listening|speaking|monitoring|reading_comprehension|critical_thinking|active_learning|learning_strategies|writing|mathematics|science,speaking|reading_comprehension|monitoring|critical_thinking|active_learning|active_listening|writing|learning_strategies|mathematics|science,3.75,3.88,3.88,3.5,3.0,3.12,3.88,4.0,2.88,2.88,1.62,0.62,3.62,3.75,3.12,3.75,3.12,3.12,3.88,3.88
11-9071.00,Gambling Managers,critical_thinking|speaking|monitoring|active_listening|writing|reading_comprehension|active_learning|learning_strategies|mathematics|science,critical_thinking|monitoring|reading_comprehension|writing|speaking|active_listening|active_learning|learning_strategies|mathematics|science,3.5,3.88,3.75,3.75,3.62,3.88,3.88,3.88,3.12,3.12,1.62,0.62,4.0,4.0,3.5,3.62,3.25,3.38,3.88,4.0
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",reading_comprehension|active_listening|speaking|critical_thinking|monitoring|writing|active_learning|learning_strategies|mathematics|science,active_listening|speaking|reading_comprehension|writing|critical_thinking|active_learning|monitoring|learning_strategies|mathematics|science,3.88,3.88,3.88,4.0,3.5,3.88,3.88,4.0,2.5,2.25,1.0,0.0,3.75,3.88,3.25,3.75,3.12,3.62,3.75,3.75
11-9081.00,Lodging Managers,active_listening|speaking|reading_comprehension|writing|critical_thinking|active_learning|monitoring|learning_strategies|mathematics|science,active_listening|writing|speaking|reading_comprehension|critical_thinking|active_learning|monitoring|learning_strategies|mathematics|science,3.88,3.88,4.12,4.0,3.88,4.0,4.0,4.0,2.62,2.88,1.0,0.0,3.75,3.88,3.75,3.88,3.38,3.62,3.75,3.75
11-9111.00,Medical and Health Services Managers,speaking|critical_thinking|reading_comprehension|active_listening|writing|monitoring|active_learning|learning_strategies|mathematics|science,reading_comprehension|active_listening|critical_thinking|monitoring|writing|speaking|active_learning|learning_strategies|mathematics|science,4.0,4.12,4.0,4.12,4.0,4.0,4.12,4.0,2.75,3.0,2.5,2.5,4.12,4.12,3.88,3.88,3.25,3.88,4.0,4.12
11-9121.00,Natural Sciences Managers,science|reading_comprehension|active_listening|critical_thinking|monitoring|writing|speaking|active_learning|learning_strategies|mathematics,reading_comprehension|writing|science|active_listening|active_learning|critical_thinking|speaking|monitoring|mathematics|learning_strategies,4.0,5.0,4.0,4.75,3.88,5.0,3.88,4.25,3.12,4.0,4.12,4.88,4.0,4.38,3.5,4.75,3.5,3.88,4.0,4.12
11-9121.01,Clinical Research Coordinators,reading_comprehension|active_listening|writing|speaking|critical_thinking|monitoring|active_learning|learning_strategies|science|mathematics,reading_comprehension|active_listening|writing|speaking|critical_thinking|active_learning|monitoring|learning_strategies|mathematics|science,4.0,4.25,4.0,4.0,4.0,4.0,3.88,4.0,2.88,3.0,3.0,3.0,3.75,4.0,3.38,4.0,3.12,3.38,3.62,3.75
11-9121.02,Water Resource Specialists,reading_comprehension|active_listening|writing|speaking|critical_thinking|mathematics|active_learning|monitoring|learning_strategies|science,reading_comprehension|active_listening|writing|speaking|critical_thinking|mathematics|active_learning|monitoring|science|learning_strategies,4.0,4.12,4.0,4.0,4.0,4.0,4.0,4.0,3.25,3.75,3.0,3.25,4.0,4.0,3.25,3.75,3.12,3.25,3.25,3.75
11-9131.00,Postmasters and Mail Superintendents,reading_comprehension|active_listening|speaking|critical_thinking|monitoring|learning_strategies|writing|active_learning|mathematics|science,speaking|reading_comprehension|critical_thinking|writing|monitoring|active_listening|learning_strategies|active_learning|mathematics|science,4.0,3.88,4.0,3.38,3.25,3.75,4.0,4.0,2.75,2.5,1.5,0.5,3.75,3.88,3.25,3.12,3.38,3.25,3.75,3.62
11-9141.00,"Property, Real Estate, and Community Association Managers",reading_comprehension|speaking|active_listening|critical_thinking|writing|monitoring|active_learning|mathematics|learning_strategies|science,reading_comprehension|active_listening|writing|speaking|critical_thinking|active_learning|monitoring|mathematics|learning_strategies|science,4.0,4.0,3.88,4.0,3.75,4.0,4.0,4.0,3.0,3.0,1.12,0.12,3.88,4.0,3.12,3.38,2.75,3.0,3.38,3.38
11-9151.00,Social and Community Service Managers,active_listening|critical_thinking|active_learning|monitoring|reading_comprehension|writing|speaking|learning_strategies|mathematics|science,active_listening|reading_comprehension|speaking|critical_thinking|writing|monitoring|active_learning|learning_strategies|mathematics|science,3.75,4.12,3.88,4.25,3.75,4.0,3.75,4.12,2.62,3.12,2.25,2.0,3.88,4.12,3.88,3.88,3.62,3.75,3.88,4.0
11-9161.00,Emergency Management Directors,speaking|reading_comprehension|active_listening|writing|critical_thinking|monitoring|learning_strategies|active_learning|mathematics|science,monitoring|critical_thinking|writing|speaking|active_learning|reading_comprehension|active_listening|learning_strategies|mathematics|science,4.0,4.12,4.0,4.12,4.0,4.25,4.12,4.25,3.0,3.0,1.88,1.5,4.0,4.38,3.75,4.25,3.88,4.0,4.0,4.62
11-9171.00,Funeral Home Managers,active_listening|reading_comprehension|speaking|critical_thinking|monitoring|writing|active_learning|learning_strategies|mathematics|science,reading_comprehension|active_listening|speaking|writing|critical_thinking|monitoring|active_learning|learning_strategies|mathematics|science,3.62,3.88,3.88,3.88,3.12,3.62,3.5,3.75,2.62,2.62,1.5,0.5,3.5,3.62,2.88,3.0,2.88,3.0,3.38,3.38
11-9179.01,Fitness and Wellness Coordinators,speaking|active_listening|reading_comprehension|critical_thinking|writing|active_learning|learning_strategies|monitoring|mathematics|science,speaking|reading_comprehension|critical_thinking|learning_strategies|monitoring|active_listening|writing|active_learning|mathematics|science,3.62,3.88,3.75,3.62,3.5,3.62,3.88,4.0,2.12,2.38,1.75,1.25,3.62,3.75,3.38,3.5,3.38,3.75,3.38,3.75
11-9179.02,Spa Managers,speaking|monitoring|active_listening|critical_thinking|active_learning|reading_comprehension|learning_strategies|writing|mathematics|science,monitoring|speaking|critical_thinking|reading_comprehension|active_learning|active_listening|writing|learning_strategies|mathematics|science,3.38,3.88,3.88,3.75,3.0,3.5,4.0,4.0,3.0,3.0,1.0,0.0,3.88,4.0,3.62,3.88,3.38,3.5,4.0,4.12
11-9199.01,Regulatory Affairs Managers,writing|reading_comprehension|active_listening|speaking|critical_thinking|monitoring|active_learning|learning_strategies|mathematics|science,reading_comprehension|writing|speaking|monitoring|active_listening|critical_thinking|active_learning|learning_strategies|mathematics|science,4.12,4.12,4.0,4.0,4.25,4.12,4.0,4.12,2.38,2.62,2.38,1.88,3.88,4.0,3.5,3.75,3.0,3.5,3.62,4.12
11-9199.02,Compliance Managers,reading_comprehension|critical_thinking|active_listening|writing|speaking|active_learning|monitoring|learning_strategies|mathematics|science,monitoring|critical_thinking|reading_comprehension|active_listening|writing|speaking|active_learning|learning_strategies|mathematics|science,4.0,4.12,3.88,4.12,3.88,4.12,3.88,4.12,2.12,2.25,1.38,0.5,4.0,4.25,3.75,3.88,3.25,3.5,3.75,4.62
11-9199.08,Loss Prevention Managers,reading_comprehension|active_listening|speaking|critical_thinking|monitoring|writing|active_learning|learning_strategies|mathematics|science,reading_comprehension|active_listening|speaking|critical_thinking|monitoring|writing|active_learning|learning_strategies|mathematics|science,4.0,4.0,4.0,4.0,3.75,3.88,4.0,4.0,2.75,2.75,1.0,0.0,3.88,4.0,3.75,3.75,3.25,3.25,3.88,4.0
11-9199.09,Wind Energy Operations Managers,active_listening|reading_comprehension|speaking|critical_thinking|monitoring|writing|mathematics|active_learning|learning_strategies|science,monitoring|reading_comprehension|active_listening|writing|speaking|critical_thinking|active_learning|mathematics|learning_strategies|science,3.88,4.0,4.0,4.0,3.75,4.0,3.88,4.0,3.0,3.25,2.0,1.12,3.88,4.0,3.0,3.62,3.0,3.12,3.88,4.12
11-9199.10,Wind Energy Development Managers,critical_thinking|reading_comprehension|writing|speaking|active_listening|monitoring|active_learning|mathematics|learning_strategies|science,reading_comprehension|critical_thinking|active_learning|writing|monitoring|active_listening|speaking|mathematics|learning_strategies|science,3.88,4.25,3.75,3.75,3.88,3.88,3.88,3.75,3.0,3.5,1.75,1.12,4.0,4.25,3.38,4.0,2.75,2.88,3.5,3.88
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,reading_comprehension|speaking|critical_thinking|monitoring|active_listening|writing|mathematics|active_learning|science|learning_strategies,reading_comprehension|critical_thinking|writing|speaking|monitoring|active_listening|mathematics|active_learning|science|learning_strategies,4.0,4.5,3.88,4.0,3.88,4.12,4.0,4.12,3.62,3.88,3.0,3.25,4.0,4.25,3.25,3.88,3.0,3.0,4.0,4.12
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",reading_comprehension|active_listening|speaking|critical_thinking|writing|active_learning|monitoring|learning_strategies|mathematics|science,reading_comprehension|active_listening|speaking|writing|critical_thinking|active_learning|monitoring|learning_strategies|mathematics|science,4.0,4.0,4.0,4.0,3.62,3.88,4.0,4.0,2.12,2.0,1.62,0.62,3.75,3.75,3.5,3.5,2.62,2.75,2.88,3.0
13-1021.00,"Buyers and Purchasing Agents, Farm Products",active_listening|critical_thinking|speaking|reading_comprehension|writing|monitoring|active_learning|mathematics|learning_strategies|science,critical_thinking|reading_comprehension|active_listening|speaking|writing|active_learning|mathematics|monitoring|learning_strategies|science,3.5,3.88,3.88,3.88,3.25,3.25,3.75,3.88,2.88,3.12,1.5,0.75,3.88,4.0,3.0,3.25,2.5,2.88,3.12,3.12
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",critical_thinking|active_listening|speaking|reading_comprehension|active_learning|monitoring|writing|mathematics|learning_strategies|science,critical_thinking|active_learning|monitoring|reading_comprehension|active_listening|speaking|mathematics|writing|learning_strategies|science,3.62,3.88,3.88,3.88,3.12,3.25,3.88,3.88,3.12,3.38,1.25,0.25,4.0,4.0,3.38,4.0,2.88,3.0,3.38,4.0
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",reading_comprehension|active_listening|writing|speaking|critical_thinking|active_learning|monitoring|mathematics|learning_strategies|science,reading_comprehension|active_listening|writing|speaking|critical_thinking|active_learning|monitoring|mathematics|learning_strategies|science,4.12,4.12,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.12,1.12,0.12,3.88,3.88,3.88,3.88,3.0,3.12,3.75,3.88
13-1031.00,"Claims Adjusters, Examiners, and Investigators",reading_comprehension|active_listening|critical_thinking|speaking|writing|monitoring|active_learning|mathematics|learning_strategies|science,reading_comprehension|active_listening|critical_thinking|speaking|writing|monitoring|active_learning|mathematics|learning_strategies|science,4.12,4.5,4.0,4.25,3.62,3.88,3.88,4.0,2.88,2.88,1.38,0.5,4.0,4.25,3.25,3.5,2.5,2.75,3.38,3.88
13-1032.00,"Insurance Appraisers, Auto Damage",writing|speaking|reading_comprehension|active_listening|critical_thinking|active_learning|mathematics|monitoring|learning_strategies|science,active_listening|speaking|critical_thinking|reading_comprehension|writing|active_learning|monitoring|mathematics|learning_strategies|science,3.5,3.62,3.5,3.88,3.75,3.25,3.75,3.75,2.62,2.75,1.12,0.25,3.38,3.75,2.88,3.0,2.12,1.5,2.5,2.88
13-1041.00,Compliance Officers,reading_comprehension|speaking|active_listening|writing|critical_thinking|monitoring|active_learning|learning_strategies|mathematics|science,active_listening|reading_comprehension|writing|speaking|critical_thinking|monitoring|active_learning|learning_strategies|mathematics|science,4.0,3.75,3.75,3.88,3.75,3.62,3.88,3.62,2.12,1.88,1.0,0.0,3.5,3.62,3.0,3.12,2.88,2.75,3.38,3.62
13-1041.01,Environmental Compliance Inspectors,reading_comprehension|critical_thinking|active_listening|writing|speaking|active_learning|monitoring|mathematics|science|learning_strategies,reading_comprehension|monitoring|speaking|critical_thinking|writing|active_learning|active_listening|science|learning_strategies|mathematics,4.0,4.75,3.88,4.0,3.88,4.12,3.88,4.25,3.0,3.12,3.0,3.25,4.0,4.25,3.75,4.12,3.0,3.25,3.75,4.38
13-1041.03,Equal Opportunity Representatives and Officers,active_listening|reading_comprehension|speaking|critical_thinking|writing|active_learning|monitoring|learning_strategies|mathematics|science,reading_comprehension|active_listening|critical_thinking|writing|speaking|active_learning|monitoring|learning_strategies|mathematics|science,4.12,4.75,4.25,4.62,3.88,4.38,4.0,4.25,2.5,2.75,1.62,0.75,4.0,4.5,3.75,4.0,3.0,3.38,3.38,3.88
13-1041.04,Government Property Inspectors and Investigators,active_listening|reading_comprehension|writing|speaking|critical_thinking|active_learning|monitoring|learning_strategies|mathematics|science,reading_comprehension|active_listening|speaking|critical_thinking|monitoring|writing|active_learning|mathematics|learning_strategies|science,4.0,4.25,4.12,4.12,4.0,4.0,4.0,4.12,2.88,3.12,1.88,1.25,4.0,4.12,3.5,3.38,3.0,3.12,3.38,4.12
13-1041.06,Coroners,speaking|critical_thinking|reading_comprehension|active_listening|writing|active_learning|science|monitoring|learning_strategies|mathematics,reading_comprehension|active_listening|writing|speaking|critical_thinking|active_learning|science|monitoring|learning_strategies|mathematics,4.0,4.5,3.88,4.0,3.62,4.0,4.12,4.0,2.62,2.62,3.25,3.75,4.12,4.0,3.38,3.88,3.12,3.12,3.25,3.5
