O*NET-SOC Code,Title,specific_interest_areas_ranked,specific_interest_areas_ds_accounting_value,specific_interest_areas_ds_agriculture_value,specific_interest_areas_ds_animal_service_value,specific_interest_areas_ds_applied_arts_and_design_value,specific_interest_areas_ds_athletics_value,specific_interest_areas_ds_business_initiatives_value,specific_interest_areas_ds_construction_woodwork_value,specific_interest_areas_ds_creative_writing_value,specific_interest_areas_ds_culinary_art_value,specific_interest_areas_ds_engineering_value,specific_interest_areas_ds_finance_value,specific_interest_areas_ds_health_care_service_value,specific_interest_areas_ds_human_resources_value,specific_interest_areas_ds_humanities_value,specific_interest_areas_ds_information_technology_value,specific_interest_areas_ds_law_value,specific_interest_areas_ds_life_science_value,specific_interest_areas_ds_management_administration_value,specific_interest_areas_ds_marketing_advertising_value,specific_interest_areas_ds_mathematics_statistics_value,specific_interest_areas_ds_mechanics_electronics_value,specific_interest_areas_ds_media_value,specific_interest_areas_ds_medical_science_value,specific_interest_areas_ds_music_value,specific_interest_areas_ds_nature_outdoors_value,specific_interest_areas_ds_office_work_value,specific_interest_areas_ds_performing_arts_value,specific_interest_areas_ds_personal_service_value,specific_interest_areas_ds_physical_manual_labor_value,specific_interest_areas_ds_physical_science_value,specific_interest_areas_ds_politics_value,specific_interest_areas_ds_professional_advising_value,specific_interest_areas_ds_protective_service_value,specific_interest_areas_ds_public_speaking_value,specific_interest_areas_ds_religious_activities_value,specific_interest_areas_ds_sales_value,specific_interest_areas_ds_social_science_value,specific_interest_areas_ds_social_service_value,specific_interest_areas_ds_teaching_education_value,specific_interest_areas_ds_transportation_machine_operation_value,specific_interest_areas_ds_visual_arts_value,specific_interest_areas_oi_accounting_value,specific_interest_areas_oi_agriculture_value,specific_interest_areas_oi_animal_service_value,specific_interest_areas_oi_applied_arts_and_design_value,specific_interest_areas_oi_athletics_value,specific_interest_areas_oi_business_initiatives_value,specific_interest_areas_oi_construction_woodwork_value,specific_interest_areas_oi_creative_writing_value,specific_interest_areas_oi_culinary_art_value,specific_interest_areas_oi_engineering_value,specific_interest_areas_oi_finance_value,specific_interest_areas_oi_health_care_service_value,specific_interest_areas_oi_human_resources_value,specific_interest_areas_oi_humanities_value,specific_interest_areas_oi_information_technology_value,specific_interest_areas_oi_law_value,specific_interest_areas_oi_life_science_value,specific_interest_areas_oi_management_administration_value,specific_interest_areas_oi_marketing_advertising_value,specific_interest_areas_oi_mathematics_statistics_value,specific_interest_areas_oi_mechanics_electronics_value,specific_interest_areas_oi_media_value,specific_interest_areas_oi_medical_science_value,specific_interest_areas_oi_music_value,specific_interest_areas_oi_nature_outdoors_value,specific_interest_areas_oi_office_work_value,specific_interest_areas_oi_performing_arts_value,specific_interest_areas_oi_personal_service_value,specific_interest_areas_oi_physical_manual_labor_value,specific_interest_areas_oi_physical_science_value,specific_interest_areas_oi_politics_value,specific_interest_areas_oi_professional_advising_value,specific_interest_areas_oi_protective_service_value,specific_interest_areas_oi_public_speaking_value,specific_interest_areas_oi_religious_activities_value,specific_interest_areas_oi_sales_value,specific_interest_areas_oi_social_science_value,specific_interest_areas_oi_social_service_value,specific_interest_areas_oi_teaching_education_value,specific_interest_areas_oi_transportation_machine_operation_value,specific_interest_areas_oi_visual_arts_value
25-1053.00,"Environmental Science Teachers, Postsecondary",social_science|mathematics_statistics|physical_science|professional_advising|public_speaking|life_science|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|humanities|information_technology|law|management_administration|marketing_advertising|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_manual_labor|politics|protective_service|religious_activities|sales|social_service|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,3.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.3,1.92,1.25,1.29,1.09,1.31,1.06,1.76,1.0,2.3,1.23,1.52,2.07,2.04,2.08,1.4,5.48,2.46,1.29,4.21,1.44,1.94,2.48,1.0,2.74,1.71,1.13,1.65,1.19,4.61,1.87,4.77,1.12,4.89,1.0,1.12,4.12,2.96,6.77,1.1,1.3
25-1054.00,"Physics Teachers, Postsecondary",professional_advising|mathematics_statistics|public_speaking|physical_science|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|humanities|information_technology|law|life_science|management_administration|marketing_advertising|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_manual_labor|politics|protective_service|religious_activities|sales|social_science|social_service|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.37,1.01,1.0,1.24,1.0,1.2,1.06,1.49,1.0,2.78,1.23,1.19,1.86,1.64,2.5,1.14,1.63,2.32,1.23,5.16,2.03,1.74,1.51,1.04,1.09,1.59,1.15,1.65,1.15,5.66,1.29,4.33,1.04,5.18,1.0,1.12,1.93,2.49,6.68,1.06,1.23
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",professional_advising|public_speaking|humanities|social_science|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|information_technology|law|life_science|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|protective_service|religious_activities|sales|social_service|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.2,1.09,1.1,1.32,1.09,1.14,1.09,2.17,1.12,1.17,1.1,1.26,2.07,6.53,1.19,1.25,2.46,2.59,1.32,2.35,1.17,2.0,1.63,1.11,1.44,1.5,1.28,1.68,1.21,2.01,1.68,4.62,1.2,5.44,1.27,1.12,6.62,2.72,6.68,1.1,1.43
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",professional_advising|public_speaking|social_science|teaching_education|humanities|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|information_technology|law|life_science|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|protective_service|religious_activities|sales|social_service|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.2,1.0,1.0,1.67,1.03,1.25,1.0,2.55,1.23,1.0,1.1,1.26,2.04,6.87,1.56,1.44,1.21,2.62,1.51,1.91,1.03,2.34,1.16,1.23,1.11,1.37,1.42,1.78,1.0,1.16,2.82,4.67,1.2,5.78,1.63,1.12,6.62,3.93,6.81,1.0,1.55
25-1063.00,"Economics Teachers, Postsecondary",professional_advising|mathematics_statistics|public_speaking|social_science|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|humanities|information_technology|law|life_science|management_administration|marketing_advertising|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|protective_service|religious_activities|sales|social_service|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.39,1.04,1.0,1.16,1.0,1.7,1.0,1.56,1.0,1.17,2.57,1.06,2.25,2.72,1.44,1.55,1.15,2.69,1.26,5.03,1.0,1.71,1.19,1.02,1.0,1.74,1.2,1.81,1.0,1.44,2.55,4.29,1.04,5.61,1.02,1.22,6.34,2.55,6.68,1.0,1.13
25-1064.00,"Geography Teachers, Postsecondary",professional_advising|humanities|public_speaking|social_science|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|information_technology|law|life_science|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|protective_service|religious_activities|sales|social_service|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.2,1.2,1.0,1.32,1.0,1.16,1.0,1.99,1.0,1.51,1.15,1.13,2.0,4.64,2.3,1.22,1.89,2.35,1.29,3.41,1.2,1.82,1.51,1.02,2.07,1.47,1.22,1.81,1.12,3.23,1.99,4.19,1.04,5.52,1.02,1.12,5.88,2.86,6.86,1.03,1.53
25-1065.00,"Political Science Teachers, Postsecondary",politics|professional_advising|humanities|public_speaking|social_science|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|information_technology|law|life_science|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|protective_service|religious_activities|sales|social_service|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.17,1.0,1.0,1.24,1.0,1.38,1.0,2.26,1.0,1.03,1.28,1.03,1.96,5.46,1.16,2.61,1.1,2.76,1.4,2.28,1.0,1.77,1.14,1.04,1.0,1.43,1.22,1.75,1.02,1.14,4.21,4.67,1.39,6.04,1.23,1.08,6.72,2.96,6.77,1.0,1.3
25-1066.00,"Psychology Teachers, Postsecondary",professional_advising|social_service|public_speaking|social_science|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|humanities|information_technology|law|life_science|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|protective_service|religious_activities|sales|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,1.27,1.0,1.07,1.41,1.11,1.31,1.0,2.35,1.0,1.12,1.07,2.37,2.65,3.15,1.77,1.18,2.07,2.69,1.4,3.09,1.11,2.03,2.22,1.11,1.02,1.5,1.39,2.01,1.0,1.35,1.59,4.47,1.12,5.65,1.15,1.12,6.57,4.67,6.81,1.0,1.37
25-1067.00,"Sociology Teachers, Postsecondary",professional_advising|humanities|public_speaking|social_science|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|information_technology|law|life_science|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|protective_service|religious_activities|sales|social_service|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.2,1.0,1.0,1.24,1.03,1.2,1.0,1.99,1.0,1.06,1.13,1.19,2.07,5.02,1.59,1.95,1.23,2.42,1.29,3.2,1.0,1.94,1.48,1.07,1.0,1.5,1.28,1.94,1.04,1.16,2.42,4.52,1.28,5.61,1.27,1.12,6.67,3.84,6.72,1.0,1.25
25-1071.00,"Health Specialties Teachers, Postsecondary",social_science|health_care_service|professional_advising|life_science|medical_science|public_speaking|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|human_resources|humanities|information_technology|law|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|media|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|protective_service|religious_activities|sales|social_service|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.41,1.06,1.54,1.19,1.2,1.2,1.0,1.59,1.0,1.32,1.23,4.52,2.29,2.04,1.77,1.73,5.09,2.26,1.32,3.09,1.26,1.76,5.18,1.09,1.11,1.66,1.13,1.88,1.15,2.7,1.71,4.67,1.32,5.31,1.06,1.1,4.48,3.72,6.81,1.03,1.13
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",life_science|medical_science|professional_advising|health_care_service|social_service|public_speaking|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|human_resources|humanities|information_technology|law|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|media|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|protective_service|religious_activities|sales|social_science|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.2,1.0,1.0,1.24,1.14,1.27,1.0,1.54,1.0,1.2,1.05,5.26,2.4,1.9,1.62,1.18,4.07,2.93,1.24,2.22,1.17,1.65,4.25,1.04,1.0,1.74,1.13,1.91,1.24,1.56,1.26,4.87,1.51,5.35,1.06,1.1,3.85,5.28,6.72,1.0,1.13
25-1081.00,"Education Teachers, Postsecondary",social_service|professional_advising|public_speaking|social_science|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|humanities|information_technology|law|life_science|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|protective_service|religious_activities|sales|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,1.34,1.03,1.0,1.52,1.17,1.33,1.0,2.42,1.0,1.17,1.23,1.49,2.58,3.84,1.68,1.36,1.51,2.69,1.35,2.41,1.0,2.12,1.57,1.16,1.11,1.95,1.44,2.24,1.0,1.35,1.71,5.38,1.08,5.69,1.37,1.12,5.71,4.9,6.81,1.0,1.55
25-1082.00,"Library Science Teachers, Postsecondary",humanities|social_science|public_speaking|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|information_technology|law|life_science|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|professional_advising|protective_service|religious_activities|sales|social_service|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.3,1.0,1.0,1.44,1.0,1.31,1.0,1.99,1.0,1.17,1.23,1.13,2.18,4.37,2.2,1.29,1.32,2.45,1.37,1.7,1.08,2.34,1.45,1.14,1.0,1.73,1.17,2.11,1.04,1.33,1.47,3.0,1.08,5.18,1.02,1.1,4.64,2.68,6.63,1.0,1.27
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",professional_advising|law|public_speaking|social_science|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|humanities|information_technology|life_science|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|protective_service|religious_activities|sales|social_service|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.2,1.0,1.02,1.21,1.14,1.33,1.0,1.76,1.0,1.14,1.23,1.23,2.4,3.51,1.56,4.87,1.15,2.69,1.32,2.03,1.14,1.91,1.28,1.02,1.02,1.79,1.15,2.04,1.0,1.18,2.82,4.62,3.99,5.91,1.09,1.14,5.97,3.33,6.63,1.0,1.23
25-1112.00,"Law Teachers, Postsecondary",humanities|professional_advising|social_science|public_speaking|law|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|information_technology|life_science|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|protective_service|religious_activities|sales|social_service|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.24,1.0,1.0,1.21,1.0,1.49,1.0,1.93,1.0,1.09,1.23,1.1,2.32,4.33,1.65,6.2,1.13,2.79,1.29,1.65,1.06,1.74,1.22,1.0,1.0,1.64,1.39,2.01,1.0,1.16,3.54,4.86,2.6,5.78,1.11,1.12,5.44,3.11,6.63,1.0,1.18
25-1113.00,"Social Work Teachers, Postsecondary",professional_advising|social_service|public_speaking|social_science|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|humanities|information_technology|law|life_science|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|protective_service|religious_activities|sales|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,1.27,1.0,1.0,1.32,1.03,1.31,1.0,1.76,1.04,1.06,1.15,2.48,2.4,3.18,1.56,2.17,1.34,2.56,1.32,2.03,1.03,1.85,1.78,1.07,1.0,1.71,1.3,2.01,1.06,1.12,2.35,5.22,1.28,5.52,1.39,1.14,6.25,5.28,6.72,1.0,1.16
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",professional_advising|visual_arts|performing_arts|applied_arts_and_design|music|humanities|public_speaking|teaching_education|accounting|agriculture|animal_service|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|information_technology|law|life_science|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|nature_outdoors|office_work|personal_service|physical_science|physical_manual_labor|politics|protective_service|religious_activities|sales|social_science|social_service|transportation_machine_operation,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.17,1.0,1.0,5.03,1.17,1.16,1.18,3.27,1.7,1.09,1.05,1.0,1.75,5.58,1.56,1.14,1.05,2.03,1.66,1.26,1.17,3.44,1.0,5.13,1.11,1.43,4.88,2.14,1.21,1.14,1.35,4.62,1.0,5.65,1.18,1.14,2.54,3.41,6.81,1.03,4.85
25-1122.00,"Communications Teachers, Postsecondary",media|professional_advising|social_science|public_speaking|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|humanities|information_technology|law|life_science|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|protective_service|religious_activities|sales|social_service|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.2,1.0,1.0,1.88,1.11,1.35,1.0,3.27,1.0,1.06,1.2,1.06,2.04,3.76,1.68,1.36,1.1,2.66,2.11,1.56,1.17,4.09,1.16,1.38,1.0,1.39,1.61,1.98,1.0,1.18,1.93,4.72,1.04,6.72,1.13,1.2,5.1,2.72,6.77,1.0,1.69
25-1123.00,"English Language and Literature Teachers, Postsecondary",professional_advising|creative_writing|public_speaking|humanities|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|culinary_art|engineering|finance|health_care_service|human_resources|information_technology|law|life_science|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|protective_service|religious_activities|sales|social_science|social_service|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2,1.0,1.0,2.19,1.0,1.16,1.0,4.61,1.04,1.0,1.02,1.0,1.86,6.75,1.59,1.18,1.08,2.49,1.46,1.34,1.03,3.12,1.0,1.44,1.0,1.43,2.05,2.21,1.0,1.07,1.47,4.43,1.0,5.74,1.18,1.12,3.93,3.68,6.86,1.0,1.86
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",social_science|professional_advising|public_speaking|humanities|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|information_technology|law|life_science|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|protective_service|religious_activities|sales|social_service|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.27,1.0,1.0,1.67,1.06,1.21,1.0,3.42,1.12,1.03,1.05,1.0,1.89,6.28,1.27,1.14,1.13,2.45,1.37,1.42,1.0,1.79,1.05,1.23,1.0,1.57,1.47,1.98,1.02,1.09,1.5,4.62,1.04,5.74,1.23,1.1,4.2,2.96,6.81,1.0,1.48
25-1125.00,"History Teachers, Postsecondary",professional_advising|social_science|public_speaking|humanities|teaching_education|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|information_technology|law|life_science|management_administration|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|protective_service|religious_activities|sales|social_service|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.2,1.0,1.0,1.35,1.0,1.16,1.0,2.58,1.0,1.06,1.15,1.0,1.89,6.58,1.59,1.8,1.13,2.59,1.29,1.59,1.06,2.18,1.11,1.09,1.02,1.57,1.28,1.68,1.0,1.16,2.32,4.01,1.16,5.74,1.37,1.12,5.71,2.72,6.77,1.0,1.28
