ISCO-08 Code,ISCO-08 Title EN,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title
9111,Domestic cleaners and helpers,37-2012.00,Maids and Housekeeping Cleaners
9121,Hand launderers and pressers,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
9122,Vehicle cleaners,53-7061.00,Cleaners of Vehicles and Equipment
9123,Window cleaners,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
9321,Hand packers,53-7064.00,"Packers and Packagers, Hand"
9334,Shelf fillers,53-7065.00,Stockers and Order Fillers
9510,Street and related service workers,39-9099.00,"Personal Care and Service Workers, All Other"
9520,Street vendors (excluding food),41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
9612,Refuse sorters,53-7081.00,Refuse and Recyclable Material Collectors
9613,Sweepers and related labourers,37-3019.00,"Grounds Maintenance Workers, All Other"
9624,Water and firewood collectors,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
2113,Chemists,19-2031.00,Chemists
1112,Senior government officials,11-1021.00,General and Operations Managers
1113,Traditional chiefs and heads of villages,11-1011.00,Chief Executives
1114,Senior officials of special-interest organizations,11-1021.00,General and Operations Managers
1120,Managing directors and chief executives,11-1021.00,General and Operations Managers
1212,Human resource managers,11-3121.00,Human Resources Managers
1219,Business services and administration managers not elsewhere classified,13-1082.00,Project Management Specialists
1221,Sales and marketing managers,11-2022.00,Sales Managers
1222,Advertising and public relations managers,11-2032.00,Public Relations Managers
1223,Research and development managers,11-9041.00,Architectural and Engineering Managers
1343,Aged care services managers,11-1021.00,General and Operations Managers
1345,Education managers,11-9032.00,"Education Administrators, Kindergarten through Secondary"
1346,Financial and insurance services branch managers,11-1021.00,General and Operations Managers
1431,"Sports, recreation and cultural centre managers",13-1082.00,Project Management Specialists
2111,Physicists and astronomers,19-2012.00,Physicists
2114,Geologists and geophysicists,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
2120,"Mathematicians, actuaries and statisticians",15-2031.00,Operations Research Analysts
2131,"Biologists, botanists, zoologists and related professionals",19-1042.00,"Medical Scientists, Except Epidemiologists"
2132,"Farming, forestry and fisheries advisers",19-1013.00,Soil and Plant Scientists
2133,Environmental protection professionals,19-2041.00,"Environmental Scientists and Specialists, Including Health"
2144,Mechanical engineers,17-2141.00,Mechanical Engineers
2146,"Mining engineers, metallurgists and related professionals",17-2171.00,Petroleum Engineers
2149,Engineering professionals not elsewhere classified,17-2199.00,"Engineers, All Other"
2152,Electronics engineers,17-2072.00,"Electronics Engineers, Except Computer"
2163,Product and garment designers,27-1021.00,Commercial and Industrial Designers
2165,Cartographers and surveyors,17-1022.00,Surveyors
2166,Graphic and multimedia designers,27-1024.00,Graphic Designers
2211,Generalist medical practitioners ,29-1229.00,"Physicians, All Other"
2212,Specialist medical practitioners ,29-1229.00,"Physicians, All Other"
2221,Nursing professionals,29-1141.00,Registered Nurses
2261,Dentists,29-1021.00,"Dentists, General"
2263,Environmental and occupational health and hygiene professionals,19-5011.00,Occupational Health and Safety Specialists
2264,Physiotherapists ,29-1123.00,Physical Therapists
2266,Audiologists and speech therapists,29-1127.00,Speech-Language Pathologists
2269,Health professionals not elsewhere classified,29-1122.00,Occupational Therapists
2310,University and higher education teachers,25-1071.00,"Health Specialties Teachers, Postsecondary"
2320,Vocational education teachers,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
2341,Primary school teachers,25-2021.00,"Elementary School Teachers, Except Special Education"
2342,Early childhood educators,25-2011.00,"Preschool Teachers, Except Special Education"
2352,Special needs teachers,25-2056.00,"Special Education Teachers, Elementary School"
2353,Other language teachers,25-3021.00,Self-Enrichment Teachers
2355,Other arts teachers,25-3021.00,Self-Enrichment Teachers
2359,Teaching professionals not elsewhere classified,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
2411,Accountants,13-2011.00,Accountants and Auditors
2412,Financial and investment advisers,13-2051.00,Financial and Investment Analysts
2413,Financial analysts,13-2051.00,Financial and Investment Analysts
2421,Management and organization analysts,13-1111.00,Management Analysts
2423,Personnel and careers professionals,13-1071.00,Human Resources Specialists
2431,Advertising and marketing professionals,13-1161.00,Market Research Analysts and Marketing Specialists
2433,Technical and medical sales professionals (excluding ICT),41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
2434,Information and communications technology sales professionals,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
2511,Systems analysts,15-1211.00,Computer Systems Analysts
2512,Software developers,15-1252.00,Software Developers
2529,Database and network professionals not elsewhere classified,13-1082.00,Project Management Specialists
2612,Judges,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
2621,Archivists and curators,25-4012.00,Curators
2622,Librarians and related information professionals,25-4022.00,Librarians and Media Collections Specialists
2632,"Sociologists, anthropologists and related professionals",19-3091.00,Anthropologists and Archeologists
2633,"Philosophers, historians and political scientists",19-3099.00,"Social Scientists and Related Workers, All Other"
2634,Psychologists,19-3034.00,School Psychologists
2635,Social work and counselling professionals,21-1021.00,"Child, Family, and School Social Workers"
2636,Religious professionals,21-2011.00,Clergy
2641,Authors and related writers,27-3041.00,Editors
2642,Journalists,27-3041.00,Editors
2643,"Translators, interpreters and other linguists",27-3091.00,Interpreters and Translators
2651,Visual artists,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
2652,"Musicians, singers and composers",27-2042.00,Musicians and Singers
2653,Dancers and choreographers,27-2031.00,Dancers
2654,"Film, stage and related directors and producers",27-2012.00,Producers and Directors
2656,"Announcers on radio, television and other media",27-3011.00,Broadcast Announcers and Radio Disc Jockeys
3111,Chemical and physical science technicians,19-4099.00,"Life, Physical, and Social Science Technicians, All Other"
3112,Civil engineering technicians,47-4011.00,Construction and Building Inspectors
3113,Electrical engineering technicians,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
3115,Mechanical engineering technicians,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other"
3117,Mining and metallurgical technicians,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other"
3118,Draughtspersons,17-3011.00,Architectural and Civil Drafters
3119,Physical and engineering science technicians not elsewhere classified,19-4099.00,"Life, Physical, and Social Science Technicians, All Other"
3131,Power production plant operators,51-1011.00,First-Line Supervisors of Production and Operating Workers
3132,Incinerator and water treatment plant operators,51-1011.00,First-Line Supervisors of Production and Operating Workers
3134,Petroleum and natural gas refining plant operators,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
3141,Life science technicians (excluding medical),19-4021.00,Biological Technicians
3151,Ships' engineers,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
3152,Ships' deck officers and pilots,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
3153,Aircraft pilots and related associate professionals,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
3154,Air traffic controllers,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
3211,Medical imaging and therapeutic equipment technicians,29-2034.00,Radiologic Technologists and Technicians
3212,Medical and pathology laboratory technicians ,29-2011.00,Medical and Clinical Laboratory Technologists
3214,Medical and dental prosthetic technicians,51-9081.00,Dental Laboratory Technicians
3240,Veterinary technicians and assistants,29-2056.00,Veterinary Technologists and Technicians
3251,Dental assistants and therapists,31-9091.00,Dental Assistants
3255,Physiotherapy technicians and assistants,31-9011.00,Massage Therapists
3256,Medical assistants,31-9092.00,Medical Assistants
3257,Environmental and occupational health inspectors and associates,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
3259,Health associate professionals not elsewhere classified,29-1126.00,Respiratory Therapists
3311,Securities and finance dealers and brokers,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
3312,Credit and loans officers,13-2072.00,Loan Officers
3314,"Statistical, mathematical and related associate professionals",19-4061.00,Social Science Research Assistants
3315,Valuers and loss assessors,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
3321,Insurance representatives,41-3021.00,Insurance Sales Agents
3322,Commercial sales representatives,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
3323,Buyers,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
3324,Trade brokers,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
3331,Clearing and forwarding agents,43-5071.00,"Shipping, Receiving, and Inventory Clerks"
3333,Employment agents and contractors,13-1071.00,Human Resources Specialists
3334,Real estate agents and property managers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
3339,Business services agents not elsewhere classified,13-1199.00,"Business Operations Specialists, All Other"
3343,Administrative and executive secretaries,43-6011.00,Executive Secretaries and Executive Administrative Assistants
3344,Medical secretaries,43-6013.00,Medical Secretaries and Administrative Assistants
3351,Customs and border inspectors,33-3051.00,Police and Sheriff's Patrol Officers
3353,Government social benefits officials,13-1041.00,Compliance Officers
3354,Government licensing officials,13-1041.00,Compliance Officers
3355,Police inspectors and detectives,33-3021.00,Detectives and Criminal Investigators
3411,Legal and related associate professionals,23-2011.00,Paralegals and Legal Assistants
3422,"Sports coaches, instructors and officials",27-2022.00,Coaches and Scouts
3423,Fitness and recreation instructors and program leaders,39-9031.00,Exercise Trainers and Group Fitness Instructors
3432,Interior designers and decorators,27-1026.00,Merchandise Displayers and Window Trimmers
3433,"Gallery, museum and library technicians",25-4031.00,Library Technicians
3434,Chefs,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
3435,Other artistic and cultural associate professionals,27-3099.00,"Media and Communication Workers, All Other"
3514,Web technicians,15-1244.00,Network and Computer Systems Administrators
3521,Broadcasting and audio-visual technicians,27-4011.00,Audio and Video Technicians
4110,General office clerks,43-9061.00,"Office Clerks, General"
4211,Bank tellers and related clerks,43-3071.00,Tellers
4212,"Bookmakers, croupiers and related gaming workers",39-3011.00,Gambling Dealers
4213,Pawnbrokers and money-lenders,41-9099.00,"Sales and Related Workers, All Other"
4214,Debt-collectors and related workers,43-3011.00,Bill and Account Collectors
4221,Travel consultants and clerks,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
4222,Contact centre information clerks,43-4051.00,Customer Service Representatives
4223,Telephone switchboard operators,43-2011.00,"Switchboard Operators, Including Answering Service"
4224,Hotel receptionists,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
4225,Enquiry clerks,43-4171.00,Receptionists and Information Clerks
4229,Client information workers not elsewhere classified,43-4199.00,"Information and Record Clerks, All Other"
4311,Accounting and bookkeeping clerks,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
4312,"Statistical, finance and insurance clerks",43-9041.00,Insurance Claims and Policy Processing Clerks
4321,Stock clerks,53-7065.00,Stockers and Order Fillers
4411,Library clerks,43-4121.00,"Library Assistants, Clerical"
4412,Mail carriers and sorting clerks,43-5052.00,Postal Service Mail Carriers
4414,Scribes and related workers,31-1122.00,Personal Care Aides
4415,Filing and copying clerks,43-4071.00,File Clerks
4419,Clerical support workers not elsewhere classified,43-9199.00,"Office and Administrative Support Workers, All Other"
5111,Travel attendants and travel stewards,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
5112,Transport conductors,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
5113,Travel guides,39-1022.00,First-Line Supervisors of Personal Service Workers
5120,Cooks,35-2014.00,"Cooks, Restaurant"
5131,Waiters,35-3031.00,Waiters and Waitresses
5141,Hairdressers,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
5142,Beauticians and related workers,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
5152,Domestic housekeepers,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
5162,Companions and valets,31-1122.00,Personal Care Aides
5163,Undertakers and embalmers,39-4021.00,Funeral Attendants
5164,Pet groomers and animal care workers,39-1022.00,First-Line Supervisors of Personal Service Workers
5169,Personal services workers not elsewhere classified,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
5169 ,Personal services workers not elsewhere classified,39-9032.00,Recreation Workers
5212,Street food salespersons,35-3041.00,"Food Servers, Nonrestaurant"
5223,Shop sales assistants,41-2031.00,Retail Salespersons
5230,Cashiers and ticket clerks,41-2011.00,Cashiers
5245,Service station attendants,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
5246,Food service counter attendants,35-3023.00,Fast Food and Counter Workers
5249,Sales workers not elsewhere classified,41-2021.00,Counter and Rental Clerks
5311,Child care workers,39-9011.00,Childcare Workers
5321,Health care assistants,31-1131.00,Nursing Assistants
5322,Home-based personal care workers,31-1122.00,Personal Care Aides
5329,Personal care workers in health services not elsewhere classified,31-9091.00,Dental Assistants
5411,Fire-fighters,33-2011.00,Firefighters
5412,Police officers,33-3051.00,Police and Sheriff's Patrol Officers
5413,Prison guards,33-3012.00,Correctional Officers and Jailers
5414,Security guards,33-9032.00,Security Guards
5419,Protective services workers not elsewhere classified,33-9099.00,"Protective Service Workers, All Other"
6111,Field crop and vegetable growers,45-2091.00,Agricultural Equipment Operators
6112,Tree and shrub crop growers,45-2091.00,Agricultural Equipment Operators
6113,"Gardeners, horticultural and nursery growers",37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
6114,Mixed crop growers,45-2091.00,Agricultural Equipment Operators
6121,Livestock and dairy producers,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
6122,Poultry producers,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
6123,Apiarists and sericulturists,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
6129,Animal producers not elsewhere classified,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
6130,Mixed crop and animal producers,45-2091.00,Agricultural Equipment Operators
6210,Forestry and related workers,45-4022.00,Logging Equipment Operators
6221,Aquaculture workers,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
6222,Inland and coastal waters fishery workers,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
6223,Deep-sea fishery workers,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
6224,Hunters and trappers,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
6330,Subsistence mixed crop and livestock farmers,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
6340,"Subsistence fishers, hunters, trappers and gatherers",45-3031.00,Fishing and Hunting Workers
7112,Bricklayers and related workers,47-2021.00,Brickmasons and Blockmasons
7113,"Stonemasons, stone cutters, splitters and carvers",47-2022.00,Stonemasons
7114,"Concrete placers, concrete finishers and related workers",47-2051.00,Cement Masons and Concrete Finishers
7119,Building frame and related trades workers not elsewhere classified,47-4041.00,Hazardous Materials Removal Workers
7122,Floor layers and tile setters,47-2044.00,Tile and Stone Setters
7123,Plasterers,47-2081.00,Drywall and Ceiling Tile Installers
7124,Insulation workers,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
7126,Plumbers and pipe fitters,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
7127,Air conditioning and refrigeration mechanics,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
7131,Painters and related workers,47-2141.00,"Painters, Construction and Maintenance"
7132,Spray painters and varnishers,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
7211,Metal moulders and coremakers,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
7212,Welders and flamecutters,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
7213,Sheet-metal workers,47-2211.00,Sheet Metal Workers
7214,Structural-metal preparers and erectors,51-2041.00,Structural Metal Fabricators and Fitters
7221,"Blacksmiths, hammersmiths and forging press workers",51-4199.00,"Metal Workers and Plastic Workers, All Other"
7222,Toolmakers and related workers,51-4111.00,Tool and Die Makers
7223,Metal working machine tool setters and operators,51-4041.00,Machinists
7224,"Metal polishers, wheel grinders and tool sharpeners",51-9022.00,"Grinding and Polishing Workers, Hand"
7231,Motor vehicle mechanics and repairers,49-3023.00,Automotive Service Technicians and Mechanics
7232,Aircraft engine mechanics and repairers,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
7233,Agricultural and industrial machinery mechanics and repairers,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
7234,Bicycle and related repairers,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
7311,Precision-instrument makers and repairers,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
7312,Musical instrument makers and tuners,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
7314,Potters and related workers,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
7315,"Glass makers, cutters, grinders and finishers",51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
7316,"Sign writers, decorative painters, engravers and etchers",51-9123.00,"Painting, Coating, and Decorating Workers"
7317,"Handicraft workers in wood, basketry and related materials",51-7099.00,"Woodworkers, All Other"
7321,Pre-press technicians,51-5111.00,Prepress Technicians and Workers
7411,Building and related electricians,47-2111.00,Electricians
